chart_week,rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
2026-01-08,81,Coldplay,Viva La Vida,Parlophone UK,31,84,176,10737296,1mea3bSkSGXuIRvnydlB5b,,,,,unknown,,
2026-01-08,82,Lil Uzi Vert,What You Saying,Roc Nation Distribution,82,-1,1,10634529,7cjoZVmWe2xsGR4wcXiV2v,4O15NlyKLIASxsJ0PrXPfz,2025-12-22,False,87.0,melodic rap|rage rap,19685341.0,86.0
2026-01-08,83,Ariana Grande,we can't be friends (wait for your love),Republic Records,1,106,96,10618474,51ZQ1vr10ffzbwIjDCwqm4,66CXWjxzNUsdJxJ2JdwvnR,2024-03-08,False,88.0,pop,109122307.0,95.0
2026-01-08,84,"Peso Pluma, Tito Double P",ni pedo,Double P Records,70,70,2,10554417,7xLfNI4gRNTu6FyXJlzBW5,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,86.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25292382.0,92.0
2026-01-08,85,Vance Joy,Riptide,Atlantic Records,30,99,256,10537154,2uXlHCUbq9OMUwx3hrk06o,10exVja0key0uqUkk6LJRT,2014-08-05,False,86.0,folk pop,3539493.0,76.0
2026-01-08,86,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan","Gehra Hua (From ""Dhurandhar"")",Saregama India Ltd,86,88,3,10513219,5MCbGWnNLLjoHpbDO3BOgi,,,,,unknown,,
2026-01-08,87,Tame Impala,The Less I Know The Better,Universal Music Australia Pty. Ltd.,87,125,66,10484030,6K4t31amVTZDgR3sKmwUJJ,5INjqkS1o8h1imAzPqGZBb,2015-07-17,True,90.0,neo-psychedelic|indie,10003963.0,86.0
2026-01-08,88,Olivia Dean,A Couple Minutes,PLG - Capitol,88,135,7,10474270,312z6PZ8wwREck8613PkJk,00x1fYSGhdqScXBRpSj3DW,2025-09-26,False,89.0,pop soul,2651507.0,93.0
2026-01-08,89,Harry Styles,As It Was,Columbia,1,90,190,10460431,4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3,2022-05-20,False,90.0,unknown,34528605.0,84.0
2026-01-08,90,The Clash,Should I Stay or Should I Go - Remastered,Sony Music UK,90,139,2,10444267,39shmbIHICJ2Wxnk1fPSdz,3RGLhK1IP9jnYFH4BRFJBS,,False,86.0,punk,3289363.0,74.0
