track_name,artist_names,track_id,artist_id
We Are The People,Empire Of The Sun,3zEN0ii6s4DHHBpnTp3RP7,67hb7towEyKvt5Z8Bx306c
EoO,Bad Bunny,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X
7-3,"Peso Pluma, Tito Double P",4lzo6zPM2paqyP8oBp3DOs,12GqGscKJx3aE4t07u7eVZ
Somewhere Only We Know,Keane,1SKPmfSYaPsETbRHaiA18G,53A0W3U0s8diEn9RhXQhVz
kota ini tak sama tanpamu,Nadhif Basalamah,13CwOTXUgBugeBByE9oIWb,6UgERnTHmjk3qXM9x5vzyO
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V
LA CANCIÓN,"J Balvin, Bad Bunny",0fea68AdmYNygeTGI4RC18,1vyhD5VmyZ7KMfW5gqLgo5
Pink Pony Club,Chappell Roan,1k2pQc5i348DCHwbn5KTdc,7GlBOeep6PqTfFi59PTUUN
Sahiba,Aditya Rikhari,0eLtIxPRNJfsmehITZ1qaJ,3ozYqVCLohfpXIhalkhM8D
Marlboro Rojo,Fuerza Regida,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt
TU VAS SIN (fav),Rels B,6uiQ0DqbXTBc8tl0AUKZkR,2IMZYfNi21MGqxopj9fWx8
SPAGHETTI,"LE SSERAFIM, j-hope",2N9miXnewVmUrgl6JSK1FI,4SpbR6yFEvexJuaBpgAU5p
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,1uNFoZAHBGtllmzznpCI3s
No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz,4Gso3d4CscCijv0lmajZWs
NOT CUTE ANYMORE,ILLIT,1k0JAiH11gHL9dc5dfQjQr,36cgvBn0aadzOijnjjwqMN
luther (with sza),"Kendrick Lamar, SZA",2CGNAOSuO1MEFCbBRgUzjd,2YZyLoL8N0Wb9xBt1NhZWg
JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody",3jhyw60F61gc7nC4dblqtC,5wbf52LA6kcaboHSN6NEF1
Billie Jean,Michael Jackson,7J1uxwnxfQLu4APicE5Rnj,3fMbdgg4jU18AjLCKBhRSm
Messy,Lola Young,3SKH53SPQbEnZR4cJPVaz2,67FB4n52MgexGQIG8s0yUH
like JENNIE,JENNIE,0fK7ie6XwGxQTIkpFoWkd1,250b0Wlc5Vk0CoUsaCY84M
Young And Beautiful,Lana Del Rey,2nMeu6UenVvwUktBCpLMK9,00FQb4jTyendYWaN8pK0wa
Danza Kuduro,"Don Omar, Lucenzo",6DXLO8LndZMVOHM0wNbpzg,33ScadVnbm2X8kkUqOkC6Z
We Found Love,"Rihanna, Calvin Harris",0U10zFw4GlBacOy9VDGfGL,5pKCCKE2ajJHZ9KAiaK11H
Bring Me To Life,Evanescence,0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c
Zoo,"Disney, Shakira",7mfTWGAr3ig1TBw29HgpRE,3xvaSlT4xsyk6lY1ESOspO
From The Start,Laufey,43iIQbw5hx986dUEZbr3eN,7gW0r5CkdEUMm42w9XpyZO
