track_id,track_name,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),0TnOYISbd1XYRBk9myaseg,2011-06-17,False,88,,12295622,87
75JFxkI2RXiU7L9VXzMkle,The Scientist,4gzpq5DPGxSnKTe4SA8HAU,2002-08-27,False,89,,62236836,91
5O2P9iiztwhomNh8xkR9lJ,Night Changes,4AK6F7OLvEQ5QYCBNiQWHq,2014-11-17,False,88,,40633961,85
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,3RGLhK1IP9jnYFH4BRFJBS,1982,False,86,punk,3299425,74
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,7dGJo4pcD2V6oG8kP0tJRR,2002-05-26,True,89,rap|hip hop,106800122,91
3JvKfv6T31zO0ini8iNItO,Another Love,2txHhyCwHjUEpJjWrEyqyX,2013-06-24,True,88,,4423718,79
59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),5ndkK3dpZLKtBklKjxNQwT,2010-04-27,False,86,,2382616,77
2e7s0oEzUoJtDSPtYJuVvD,Lean On (feat. MØ & DJ Snake),738wLrAtLtCtFOLvQBXOXp,2015-06-01,False,79,moombahton,6351134,77
48QmG1dfvMuYLxMPt7KSRA,No Lie,3Isy6kedDrgPYoTS1dazA9,2018-06-29,False,88,dancehall,5429422,85
1XGmzt0PVuFgQYYnV2It7A,Payphone,04gDigrS5kc9YWfZHwBETP,2012-01-01,True,87,pop,46590444,88
4zhk2RS2EZODmBW6il55Qj,mi refe,7a0XAaPaK2aDSqa8p3QnC7,2025-05-15,False,86,latin afrobeats|reggaeton|pop urbano,3962240,89
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,1977-02-04,False,88,classic rock|yacht rock|soft rock,14511792,86
1DwscornXpj8fmOmYVlqZt,Stateside + Zara Larsson,78rUTD7y6Cy67W1RVzYs7t,2025-10-10,False,87,bedroom pop,5050424,81
0U10zFw4GlBacOy9VDGfGL,We Found Love,5pKCCKE2ajJHZ9KAiaK11H,2011-11-19,False,80,,71000787,93
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,790FomKkXshlbRYZFtlgla,2024-06-21,False,84,reggaeton|latin|urbano latino,62259925,89
3JsydWaf2Ev4ehaLUjj3SY,Confident,1uNFoZAHBGtllmzznpCI3s,2014-05-13,False,87,,86567550,94
3SKH53SPQbEnZR4cJPVaz2,Messy,67FB4n52MgexGQIG8s0yUH,2024-05-30,True,84,,1586121,78
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,7GlBOeep6PqTfFi59PTUUN,2023-09-22,False,85,,7728275,83
