artist_names,track_name,track_id,artist_id
Bruno Mars,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,0du5cEVh5yTK9QJze8zA0C
Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,06HL4z0CvFAxyc27GXpf02
Black Eyed Peas,I Gotta Feeling,4kLLWz7srcuLKA7Et40PQR,1yxSLGMDHlW21z4YXirZDS
Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0du5cEVh5yTK9QJze8zA0C
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,7dGJo4pcD2V6oG8kP0tJRR
Creedence Clearwater Revival,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,3IYUhFvPQItj6xySrBmZkd
Miley Cyrus,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,5YGY8feqx7naU7z4HrwZM6
Tory Lanez,The Color Violet,3azJifCSqg9fRij2yKIbWz,2jku7tDXc6XoB6MO2hFuqg
JVKE,golden hour,5odlY52u43F5BjByhxg7wg,164Uj4eKjl6zTBKfJLFKKK
Hozier,Take Me To Church,3dYD57lRAUcMHufyqn9GcI,2FXC3k01G6Gw61bmprjgqS
Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,7Ln80lUS6He07XvHI8qqHH
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V
d4vd,Here With Me,0NLm9bQG7ikL5k9x9TtYT7,5y8tKLUfMvliMe8IKamR32
Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV,360IAlyVv4PCEVjgyMZrxK
KAROL G,MI EX TENÍA RAZÓN,54zcJnb3tp9c5OVKREZ1Is,790FomKkXshlbRYZFtlgla
Eminem,Lose Yourself,1v7L65Lzy0j0vdpRjJewt1,7dGJo4pcD2V6oG8kP0tJRR
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),2Hh3ETdQKrmSI3QS0hme7g,0iEtIxbK0KxaSlF7G42ZOp
Steve Lacy,Dark Red,3EaJDYHA0KnX88JvDhL9oa,57vWImR43h4CaDao012Ofp
The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,1Xyo4u8uXC1ZmMpatF05PJ
Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,2WzaAvm2bBCf4pEhyuDgCY
Paul Russell,Lil Boo Thang,0cVyQfDyRnMJ0V3rjjdlU3,4zoRNhOhsGX3w8yBAnFSQ8
"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX,1Xyo4u8uXC1ZmMpatF05PJ
Myke Towers,LA FALDA,7iUtQNMRB8ZkKC4AmEuCJC,7iK8PXO48WeuP03g8YR51W
"Grupo Frontera, Carín León",QUE VUELVAS,44vHtuBiZz2phwEwv1Rabu,6XkjpgcEsYab502Vr1bBeW
Avicii,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,1vCWHaC5f2uS3yhpwWbIA6
Plan B,Es un Secreto,3KZCP2StVGdWkOKyRZNWA4,2jSGzJw0ebJLu7OLVSOcBP
The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs,2sil8z5kiy4r76CRTXxBCA
Darell,Lollipop,3cDyocF0Ibdfs1SFQk5cLZ,1TtXnWcUs0FCkaZDPGYHdf
Taylor Swift,Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,06HL4z0CvFAxyc27GXpf02
Adele,Skyfall,6VObnIkLVruX4UVyxWhlqm,4dpARuHxo51G3z768sgnrY
Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz
"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix,4JNdwEfqwFRiAeEISC8RU8,1Xyo4u8uXC1ZmMpatF05PJ
Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q
"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,0iEtIxbK0KxaSlF7G42ZOp
"Kanye West, Pusha T",Runaway,3DK6m7It6Pw857FcQftMds,5K4W6rqBFWDnAN6FQUkS6x
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,06HL4z0CvFAxyc27GXpf02
"Don Omar, Lucenzo",Danza Kuduro,6DXLO8LndZMVOHM0wNbpzg,33ScadVnbm2X8kkUqOkC6Z
"KAROL G, Shakira",TQG,0DWdj2oZMBFSzRsi2Cvfzf,790FomKkXshlbRYZFtlgla
ABBA,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,0LcJLqbBmaGUft1e9Mm8HV
FIFTY FIFTY,Cupid - Twin Version,53DDMPqgMWNrEeE3NjThKE,4GJ6xDCF5jaUqD6avOuQT6
Wham!,Last Christmas - Single Version,4BDOQm0sODJ7Rw338bwfX0,5lpH0xAS4fVfLkACg9DAuM
Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r,4Z8W4fKeB5YxbusRsdQVPb
"DJ Snake, Justin Bieber",Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,540vIaP2JwjQb9dm3aArA4
"Kendrick Lamar, Jay Rock",Money Trees,74tLlkN3rgVzRqQJgPfink,2YZyLoL8N0Wb9xBt1NhZWg
Sia,Snowman,7uoFMmxln0GPXQ0AcCBXRq,5WUlDfRSoLAfcVSX1WnrxN
Lana Del Rey,Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,00FQb4jTyendYWaN8pK0wa
TV Girl,Not Allowed,3IznIgmXtrUaoPWpQTy5jB,0Y6dVaC9DZtPNH4591M42W
"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,5XKFrudbV4IiuE5WuTPRmT
Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,0Y5tJX1MQlPlqiwlOH1tJY
Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,08GQAI4eElDnROBrJRGE0X
Rihanna,Diamonds,6O20JhBJPePEkBdrB5sqRx,5pKCCKE2ajJHZ9KAiaK11H
Fuerza Regida,CRAZYZ,4zfQER4owi8q6NL8Gg63Ya,0ys2OFYzWYB5hRDLCsBqxt
Imagine Dragons,Bones,54ipXppHLA8U4yqpOFTUhr,53XhwfbYqKCa1cC15pYq2q
One Direction,Night Changes,5O2P9iiztwhomNh8xkR9lJ,4AK6F7OLvEQ5QYCBNiQWHq
Maroon 5,Maps,4gbVRS8gloEluzf0GzDOFc,04gDigrS5kc9YWfZHwBETP
New West,Those Eyes,2psRActEWsTlYYd7EDoyVR,69bG9tC62d8oTFC9aTTosn
Natanael Cano,O Me Voy O Te Vas,127UT7AiWflJwjXWUBBVTQ,0elWFr7TW8piilVRYJUe4P
"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,3TVXtAsR1Inumwj472S9r4
Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C
Ariana Grande,"yes, and?",7gaA3wERFkFkgivjwbSvkG,66CXWjxzNUsdJxJ2JdwvnR
21 Savage,redrum,52eIcoLUM25zbQupAZYoFh,1URnnhqYAYcrqrcwql10ft
"Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58/66",6VciS3dRMpZhJiDxT8ArFi,716NhGYqD1jl2wI1Qkgq36
"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma),6XaJfhwof7qIgbbXO5tIQI,1U1el3k54VvEUzo3ybLPlM
"21 Savage, Travis Scott, Metro Boomin",née-nah,2yUzr8Sr6ldG8vmHhZwTnz,1URnnhqYAYcrqrcwql10ft
